99.75	-6
99.76	-101
99.77	-7
99.78	-585
99.79	-60
99.8	-503
99.81	-307
99.82	-234
99.84	-1107
99.85	-721
99.86	-1224
99.87	-637
99.88	-712
99.89	-589
99.9	-649
99.91	-1005
99.92	-2143
99.93	-1979
99.94	-2060
99.95	-1728
99.96	-1403
100.01	1655
100.02	1339
100.03	2164
100.04	2610
100.05	808
100.06	665
100.07	450
100.08	411
100.09	809
100.1	464
100.11	194
100.12	608
100.13	588
100.14	938
100.15	171
100.17	202
100.18	549
100.19	129
100.21	122
100.22	161
100.24	35
100.27	57
100.31	89
100.43	87
100.48	28
